GMH GMV X Y Z
50931 46459 212.32 583.88 0.0
53923 46459 159.24 583.88 0.0
56755 46443 106.16 583.88 0.0
59395 46443 53.08 583.88 0.0
61907 46443 0 583.88 0.0
61395 49915 0 636.96 0.0
58915 49915 53.08 636.96 0.0
56275 49915 106.16 636.96 0.0
53507 49931 159.24 636.96 0.0
50547 49915 212.32 636.96 0.0
47491 49947 265.4 636.96 0.0
44323 49947 318.48 636.96 0.0
41091 49947 371.56 636.96 0.0
37763 49947 424.64 636.96 0.0
34403 49979 477.72 636.96 0.0
31075 49947 530.8 636.96 0.0
27811 49963 583.88 636.96 0.0
24579 49995 636.96 636.96 0.0
21443 49995 690.04 636.96 0.0
18371 50027 743.12 636.96 0.0
15395 50027 796.2 636.96 0.0
12579 50059 849.28 636.96 0.0
9891 50059 902.36 636.96 0.0
7363 50075 955.44 636.96 0.0
4979 50107 1008.52 636.96 0.0
2739 50075 1061.6 636.96 0.0
3331 53467 1061.6 690.04 0.0
5571 53467 1008.52 690.04 0.0
7907 53435 955.44 690.04 0.0
10419 53451 902.36 690.04 0.0
13091 53419 849.28 690.04 0.0
15843 53419 796.2 690.04 0.0
18723 53387 743.12 690.04 0.0
21731 53355 690.04 690.04 0.0
24803 53355 636.96 690.04 0.0
27971 53355 583.88 690.04 0.0
31155 53323 530.8 690.04 0.0
34419 53291 477.72 690.04 0.0
37699 53275 424.64 690.04 0.0
40915 53275 371.56 690.04 0.0
44083 53275 318.48 690.04 0.0
47187 53259 265.4 690.04 0.0
50179 53259 212.32 690.04 0.0
53059 53227 159.24 690.04 0.0
55811 53227 106.16 690.04 0.0
58403 53211 53.08 690.04 0.0
60867 53211 0 690.04 0.0
60227 56315 0 743.12 0.0
57795 56347 53.08 743.12 0.0
55235 56347 106.16 743.12 0.0
52547 56347 159.24 743.12 0.0
49731 56347 212.32 743.12 0.0
46819 56379 265.4 743.12 0.0
43779 56379 318.48 743.12 0.0
40707 56411 371.56 743.12 0.0
37539 56427 424.64 743.12 0.0
34371 56427 477.72 743.12 0.0
31203 56459 530.8 743.12 0.0
28099 56459 583.88 743.12 0.0
25027 56491 636.96 743.12 0.0
22019 56491 690.04 743.12 0.0
19107 56523 743.12 743.12 0.0
16275 56571 796.2 743.12 0.0
13539 56587 849.28 743.12 0.0
10963 56603 902.36 743.12 0.0
8499 56619 955.44 743.12 0.0
6163 56667 1008.52 743.12 0.0
3967 56667 1061.6 743.12 0.0
4671 59643 1061.6 796.2 0.0
6847 59627 1008.52 796.2 0.0
9151 59595 955.44 796.2 0.0
11583 59579 902.36 796.2 0.0
14127 59563 849.28 796.2 0.0
16767 59531 796.2 796.2 0.0
19551 59499 743.12 796.2 0.0
22399 59467 690.04 796.2 0.0
25311 59451 636.96 796.2 0.0
28303 59419 583.88 796.2 0.0
31311 59387 530.8 796.2 0.0
34351 59371 477.72 796.2 0.0
37455 59355 424.64 796.2 0.0
40495 59323 371.56 796.2 0.0
43503 59307 318.48 796.2 0.0
46463 59291 265.4 796.2 0.0
49295 59275 212.32 796.2 0.0
52063 59259 159.24 796.2 0.0
54687 59243 106.16 796.2 0.0
57199 59227 53.08 796.2 0.0
59567 59211 0 796.2 0.0
